dagi_id,kode,navn,ændret,geo_ændret,geo_version,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,visueltcenter_x,visueltcenter_y
48133,9085,Egeris,2023-08-21T21:01:57.382Z,2023-08-21T21:01:57.382Z,5,8.98165384,56.51562629,9.06579842,56.56570606,9.01688349,56.5386159
29880,9087,Hannerup,2024-11-11T22:06:14.416Z,2024-11-11T22:06:14.416Z,10,9.67326985,55.55145831,9.74110903,55.58844257,9.71132435,55.56334533
71194,9088,Ellevang,2025-05-27T21:03:24.749Z,2025-05-27T21:03:24.749Z,4,10.20190782,56.19164539,10.2566216,56.21854451,10.22691218,56.20642161
108398,9089,Pederstrup,2024-11-05T22:03:46.545Z,2024-11-05T22:03:46.545Z,7,12.31849894,55.70269445,12.37406833,55.74109041,12.33894215,55.72347251
71196,9090,Helligånds,2023-04-20T21:02:32.537Z,2023-04-20T21:02:32.537Z,8,10.13086654,56.17016492,10.18773712,56.19058982,10.16797921,56.17814615
6918,9091,Hedeager,2024-09-30T21:02:55.720Z,2024-09-30T21:02:55.720Z,8,8.92614827,56.13936496,8.9689327,56.15643989,8.95896426,56.14948685
29553,9092,Nørremarks,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,4,9.53430418,55.71237314,9.59035056,55.73518357,9.55224723,55.72397585
59570,9093,Vollsmose,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,5,10.41977985,55.39656254,10.46021284,55.42209655,10.43710018,55.40816614
107708,9094,Rønnevang,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,5,12.28083166,55.63332976,12.30919268,55.64728154,12.29079698,55.64106643
51224,9095,Svingelbjerg,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,5,9.31423707,56.72509272,9.40903119,56.7609253,9.3511236,56.74376843
70826,9096,Ravnsbjerg,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,8,10.1121504,56.10803874,10.16155725,56.1286841,10.13432517,56.11789867
73003,9097,Gellerup,2025-01-28T22:02:44.467Z,2025-01-28T22:02:44.467Z,9,10.11708437,56.14029649,10.14808294,56.17156296,10.13470239,56.15648166
112230,9098,Sthens,2024-10-22T21:04:04.354Z,2024-10-22T21:04:04.354Z,6,12.54635181,56.00498285,12.6029737,56.02985038,12.57715113,56.01603
5493,9099,Kvaglund,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,6,8.45986894,55.48654696,8.50314603,55.50188901,8.48863081,55.49429421
29356,9100,Bredballe,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,8,9.57810223,55.70470509,9.62832567,55.7382365,9.60441029,55.71985584
85473,9101,Bistrup,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,4,9.963843,57.41264935,10.07817803,57.45642017,10.02395933,57.43539675
44270,9102,Ulstrupbro,2023-07-07T21:07:30.810Z,2023-07-07T21:07:30.810Z,5,9.73068075,56.36863017,9.8183983,56.39680814,9.78668851,56.38703251
112226,9103,Mørdrup,2024-02-05T22:01:25.064Z,2024-02-05T22:01:25.064Z,5,12.50153526,55.97439022,12.57395938,56.01443809,12.5310142,55.99529898
35730,9104,Ry,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,5,9.74200722,56.06961822,9.80015496,56.10273993,9.7774735,56.0884315
108604,9105,Karlslunde Strandsogn,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,4,12.22829649,55.55225127,12.28913456,55.57806847,12.25856602,55.56627644
5510,9106,Sædding,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,4,8.37846887,55.48807526,8.4340259,55.51728467,8.40744026,55.50318693
48352,9107,Godthåb,2025-01-08T22:02:35.115Z,2025-01-08T22:02:35.115Z,7,9.76689247,56.94223074,9.83771377,56.99379217,9.80562186,56.96868898
108647,9108,Mosede,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,4,12.25312874,55.56860454,12.29703544,55.59032904,12.27324338,55.5798349
101373,9109,Stensby,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,8,11.99197387,54.94636828,12.10796209,55.01159462,12.03850224,54.97913302
80701,9110,Margrethe,2023-07-06T21:01:47.079Z,2023-07-06T21:01:47.079Z,6,9.88926608,57.00851096,9.91934446,57.03409784,9.90634107,57.01795952
105936,9111,Sankt Jørgens,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,5,11.75228418,55.20358843,11.78462335,55.21912729,11.76893132,55.21012234
68744,9112,Juelsminde,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,4,9.98484715,55.69649191,10.03091472,55.73018436,10.00342762,55.70924563
116215,9113,Islebjerg,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,3,12.04187091,55.84239397,12.10431426,55.86077912,12.05796624,55.85166605
3442,9114,Stenderup,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,4,8.79768609,55.66038321,8.90175497,55.72687186,8.84693429,55.69471868
107087,9115,Nygårds,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,5,12.41236021,55.6527768,12.44907615,55.67233173,12.42500594,55.66359678
30729,9116,Simon Peters,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,9,9.44405743,55.49532036,9.48965771,55.51990631,9.46673547,55.50695422
108450,9117,Boholte,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,3,12.14086848,55.43642945,12.17488241,55.45711541,12.16277616,55.44828603
62712,9118,Broholm,2024-01-23T22:04:07.687Z,2024-01-23T22:04:07.687Z,7,10.15008265,55.32892043,10.22622184,55.36793828,10.17387723,55.35085886
41888,9119,Kølkær,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,4,9.02721559,56.0230564,9.18806816,56.09666923,9.09738685,56.05563271
41906,9120,Kollund,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,4,8.98471815,56.06349704,9.06667513,56.12083407,9.02912324,56.08777198
5295,9121,Gjesing,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,3,8.42418126,55.48830385,8.46005012,55.52731116,8.44297061,55.50712719
9641,9122,Tarm,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,4,8.48228752,55.89010938,8.58617953,55.9309422,8.52326643,55.91428113
41897,9123,Isenvad,2024-01-23T22:04:07.687Z,2024-01-23T22:04:07.687Z,4,9.11942565,56.0566402,9.31929693,56.12490874,9.19782821,56.08900622
8943,9124,Troldhede,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,5,8.70492099,55.96159267,8.76333356,56.02493754,8.7374958,55.98953181
8441,9125,Ilderhede,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,3,8.77316023,55.8794499,8.88457878,55.92691442,8.843115,55.90204125
47547,9126,Søndermark,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,10,9.32133319,56.39789245,9.4302956,56.44508441,9.36451435,56.42721455
22325,9127,Klitmøller,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,4,8.45834614,57.01656977,8.5798613,57.0813859,8.51362988,57.03516394
21456,9129,Vorupør,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,4,8.34189758,56.92101526,8.424794,56.96283184,8.37171117,56.94341409
14084,9130,Mejdal-Halgård,2024-10-03T21:03:01.341Z,2024-10-03T21:03:01.341Z,7,8.61364639,56.31544201,8.69130015,56.35302033,8.66220956,56.34077235
59023,9131,Hjallese,2024-09-16T21:03:44.637Z,2024-09-16T21:03:44.637Z,8,10.36296335,55.34325977,10.43568033,55.37223916,10.39642873,55.35868497
37002,9132,Virklund,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,5,9.49333967,56.11621918,9.60973138,56.15530896,9.56555265,56.13537967
107053,9133,Tingbjerg,2023-03-24T22:28:38.837Z,2023-03-24T22:28:38.837Z,4,12.47015602,55.71513208,12.49791156,55.72514787,12.48549675,55.72051116
